AIRPORT_ID,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_STATE,AIRPORT_COUNTRY,ICAO,LCHG_DATE,RECORD_STATUS,Record_End
01GE,THE FARM                                          ,WRIGHTSVILLE          ,GA,  , ,12/22/05,A, 
01H ,LAKE MAXINKUCKEE                                  ,CULVER                ,IN,  , ,4/26/11,A, 
01I ,AUGUST ACRES                                      ,CENTER VILLAGE        ,OH,  , ,8/8/03,I, 
01IA,STENDER                                           ,MAYSVILLE             ,IA,  , ,6/11/02,A, 
01ID,LAVA HOT SPRINGS                                  ,LAVA HOT SPRINGS      ,ID,  , ,10/25/07,A, 
01II,MYERS FIELD                                       ,LIZTON                ,IN,  , ,8/28/09,I, 
01IL,HOOPESTON COMMUNITY MEMORIAL HOSPITAL             ,HOOPESTON             ,IL,  , ,2/23/90,A, 
01IN,COMMUNITY HOSPITAL                                ,ANDERSON              ,IN,  , ,6/11/02,A, 
01IS,WILLIAM E. KOENIG                                 ,DOW                   ,IL,  , ,6/11/02,A, 
01J ,HILLIARD AIRPARK                                  ,HILLIARD              ,FL,  , ,6/2/89,A, 
01K ,CALDWELL MUNI                                     ,CALDWELL              ,KS,  , ,6/2/89,A, 
01KS,FLYING N RANCH                                    ,LOST SPRINGS          ,KS,  , ,6/2/89,A, 
01KY,LOURDES HOSPITAL                                  ,PADUCAH               ,KY,  , ,6/27/02,A, 
01L ,BASS LAKE                                         ,WINONA                ,IN,  , ,4/26/11,A, 
01LA,BARHAM                                            ,OAK RIDGE             ,LA,  , ,6/2/89,A, 
01LL,SCHUMAIER RLA                                     ,PINCKNEYVILLE         ,IL,  , ,6/2/89,A, 
01LS,COUNTRY BREEZE                                    ,SLAUGHTER             ,LA,  , ,11/13/02,A, 
01M ,TISHOMINGO COUNTY                                 ,BELMONT               ,MS,  ,N,9/8/92,A, 
01MA,COMPAQ ANDOVER                                    ,ANDOVER               ,MA,  , ,6/26/06,A, 
01MD,ANNAPOLIS                                         ,ANNAPOLIS             ,MD,  , ,10/31/02,A, 
01ME,SAINT PETER'S                                     ,PORTAGE LAKE          ,ME,  , ,6/26/06,A, 
01MI,FLOW THROUGH TERMINAL                             ,FLINT                 ,MI,  , ,6/2/89,A, 
01MN,BARNES                                            ,COOK                  ,MN,  , ,6/2/89,A, 
01MO,HIGHWAY PATROL TROOP C HEADQUARTERS               ,TOWN AND COUNTRY      ,MO,  , ,6/2/89,A, 
01MT,CRYSTAL LAKES RESORT                              ,FORTINE               ,MT,  , ,7/2/02,A, 
01N ,CRUMLING                                          ,HELLAM                ,PA,  , ,10/2/02,I, 
01NC,TOPSAIL AIRPARK                                   ,HOLLY RIDGE           ,NC,  , ,11/21/92,A, 
01ND,SHELTON AIRSTRIP                                  ,COGSWELL              ,ND,  , ,10/2/02,I, 
01NE,DETOUR                                            ,WELLFLEET             ,NE,  , ,6/2/89,A, 
01NH,MOORE AIRFIELD                                    ,ENFIELD               ,NH,  , ,6/26/06,A, 
01NJ,ALBERT GUIDO MEMORIAL                             ,NEWARK                ,NJ,  , ,6/2/89,A, 
01NK,GRANVILLE                                         ,GRANVILLE             ,NY,  , ,5/26/10,A, 
01NM,CHAMPION RANCH                                    ,ARTESIA               ,NM,  , ,5/26/10,A, 
01NR,MCGEE 01                                          ,WILMINGTON            ,NC,  , ,8/15/11,A, 
01NV,LANTANA RANCH                                     ,YERINGTON             ,NV,  , ,7/9/02,A, 
01NY,VASSAR HOSPITAL                                   ,POUGHKEEPSIE          ,NY,  , ,6/2/89,A, 
01OH,ATRIUM MEDICAL CENTER                             ,MIDDLETOWN            ,OH,  , ,7/26/10,A, 
01OI,GALION COMMUNITY HOSPITAL                         ,GALION                ,OH,  , ,8/31/93,A, 
01OK,LAWRENCE                                          ,EAKLY                 ,OK,  , ,5/2/13,I, 
01OR,RED & WHITE FLYING SERVICE                        ,SILVER LAKE           ,OR,  , ,5/26/10,I, 
01PA,PINE                                              ,MARS                  ,PA,  , ,4/15/92,A, 
01PN,BIERLY(PERSONAL USE)                              ,BELLEFONTE            ,PA,  , ,6/2/89,A, 
01PS,NORT'S RESORT                                     ,MESHOPPEN             ,PA,  , ,7/10/02,A, 
01Q ,IANNI STRIP                                       ,HANFORD               ,CA,  , ,10/2/02,I, 
01SC,YORK                                              ,YORK                  ,SC,  , ,7/17/02,A, 
01TA,THIRTY THIRTY  MATLOCK OFFICE CENTER              ,ARLINGTON             ,TX,  , ,11/13/02,A, 
01TE,SMITH FIELD                                       ,FORNEY                ,TX,  , ,7/17/02,A, 
01TN,COLONIAL AIR PARK                                 ,COLLIERVILLE          ,TN,  , ,7/17/02,A, 
01TS,ST JOSEPH HOSPITAL                                ,FORT WORTH            ,TX,  , ,3/15/07,I, 
01TX,MIMS FARM                                         ,WAXAHACHIE            ,TX,  , ,7/28/14,I, 
01U ,DUCKWATER                                         ,DUCKWATER             ,NV,  , ,6/2/89,A, 
01UT,LA SAL JUNCTION                                   ,LA SAL                ,UT,  , ,10/31/02,A, 
01V ,AURORA AIRPARK                                    ,AURORA                ,CO,  , ,10/27/05,I, 
01VA,PICKLES                                           ,BERRYVILLE            ,VA,  , ,6/5/08,A, 
01W ,SAWYER                                            ,NEW CHURCH            ,VA,  , ,10/2/02,I, 
01WA,WILLAPA HARBOR                                    ,SOUTH BEND            ,WA,  , ,6/2/89,A, 
01WI,PREHN CRANBERRY COMPANY                           ,TOMAH                 ,WI,  , ,7/24/02,A, 
01WN,WHIDBEY GENERAL HOSPITAL                          ,COUPEVILLE            ,WA,  , ,11/27/06,A, 
01WT,ODYSSEY                                           ,RENTON                ,WA,  , ,5/26/10,A, 
01WY,KEYHOLE                                           ,MOORCROFT             ,WY,  , ,10/31/02,A, 
01X ,JACKSON MEMORIAL HOSPITAL                         ,MIAMI                 ,FL,  , ,10/2/02,I, 
01XA,SETON MEDICAL CENTER HAYS                         ,KYLE                  ,TX,  , ,5/26/10,A, 
01XS,MEADOWOOD RANCH                                   ,ATHENS                ,TX,  , ,1/31/90,A, 
02A ,CHILTON COUNTY                                    ,CLANTON               ,AL,  , ,5/26/10,A, 
02AA,H & H FIELD                                       ,BIG LAKE              ,AK,  , ,4/26/11,A, 
02AK,RUSTIC WILDERNESS                                 ,WILLOW                ,AK,  , ,6/2/89,A, 
02AL,BASS FIELD                                        ,FOLEY                 ,AL,  , ,5/29/02,A, 
02AR,THREE RIVERS                                      ,LITTLE ROCK           ,AR,  , ,3/19/13,I, 
02AZ,WINCHESTER FARM AIRSTRIP                          ,WILLCOX               ,AZ,  , ,2/23/12,I, 
02B ,YALE MOTOR INN                                    ,WALLINGFORD           ,CT,  , ,11/17/06,I, 
02C ,CAPITOL                                           ,BROOKFIELD            ,WI,  , ,6/2/89,A, 
02CA,BETA PLATFORM ELLEN                               ,HUNTINGTON BEACH      ,CA,  , ,3/19/13,A, 
02CD,SHANNON FIELD                                     ,CLARKSDALE            ,MS,  , ,11/27/06,A, 
02CL,CONOVER AIR LODGE                                 ,FRAZIER PARK          ,CA,  , ,6/4/02,A, 
02CO,MC CULLOUGH                                       ,MONTE VISTA           ,CO,  , ,6/2/89,A, 
02CT,STRANGERS POINT                                   ,ELLINGTON             ,CT,  , ,6/26/06,A, 
02D ,WINONA LAKE                                       ,WINONA LAKE           ,IN,  , ,4/26/11,A, 
02E ,MESA LUTHERAN HOSPITAL                            ,MESA                  ,AZ,  , ,1/8/03,I, 
02F ,SMITH FIELD                                       ,FORNEY                ,TX,  , ,12/22/03,I, 
02FA,OSBORN AIRFIELD                                   ,GROVELAND             ,FL,  , ,1/20/05,A, 
02FD,DOCTOR'S MEMORIAL HOSPITAL                        ,BONIFAY               ,FL,  , ,4/26/11,I, 
02FL,CUCHENS                                           ,DEFUNIAK SPRINGS      ,FL,  , ,11/20/08,A, 
02G ,COLUMBIANA COUNTY                                 ,EAST LIVERPOOL        ,OH,  , ,6/2/89,A, 
02GA,DOUG BOLTON FIELD                                 ,COMMERCE              ,GA,  , ,6/2/89,A, 
02GE,ETOWAH FIELDS                                     ,EUHARLEE              ,GA,  , ,9/30/04,A, 
02H ,DAILY RLA                                         ,SULLIVAN              ,IL,  , ,10/2/02,I, 
02HI,K3 HELIPAD                                        ,PEARL HARBOR          ,HI,  , ,1/23/03,A, 
02IA,BOONE COUNTY HOSPITAL                             ,BOONE                 ,IA,  , ,6/11/02,A, 
02ID,MORGAN RANCH                                      ,CASCADE               ,ID,  , ,10/31/02,A, 
02II,KING                                              ,WESTFIELD             ,IN,  , ,11/15/93,A, 
02IL,HAMMERSMITH                                       ,ELBURN                ,IL,  , ,11/6/02,I, 
02IN,DIAMOND P. FIELD                                  ,MUNCIE                ,IN,  , ,6/11/02,A, 
02IS,ADVOCATE CONDELL MEDICAL CENTER                   ,LIBERTYVILLE          ,IL,  , ,7/26/10,A, 
02J ,CRISP COUNTY-CORDELE                              ,CORDELE               ,GA,  , ,6/2/89,A, 
02K ,ARROWHEAD                                         ,ST LOUIS              ,MO,  , ,10/2/02,I, 
02KS,JMJ LANDING                                       ,ST MARYS              ,KS,  , ,8/29/91,A, 
02KY,BOONE NATIONAL GUARD                              ,FRANKFORT             ,KY,  , ,6/27/02,A, 
02L ,FIVE POINTS RANCH                                 ,FIVE POINTS           ,CA,  , ,6/2/89,A, 
02LA,LA STATE POLICE TROOP G                           ,BOSSIER CITY          ,LA,  , ,4/15/92,A, 
02LL,OFFICIAL AIRLINE GUIDES                           ,OAK BROOK             ,IL,  , ,1/20/05,I, 
02LS,WINDY HILL                                        ,BROUSSARD             ,LA,  , ,8/6/04,A, 
02M ,WEST BOLIVAR FLYING SERVICE                       ,BENOIT                ,MS,  , ,10/2/02,I, 
02MA,CUTTYHUNK                                         ,GOSNOLD               ,MA,  , ,6/26/06,A, 
02MD,GARNER FIELD                                      ,BRANDYWINE            ,MD,  , ,5/2/13,A, 
02ME,OLD ACTON AIRFIELD                                ,ACTON                 ,ME,  , ,6/26/06,A, 
02MI,FAIRPLAINS AIRPARK                                ,GREENVILLE            ,MI,  , ,9/30/04,A, 
02MN,GREENBUSH MUNI                                    ,GREENBUSH             ,MN,  ,N,5/26/10,I, 
02MO,TROY AIRPARK                                      ,TROY                  ,MO,  , ,7/1/93,A, 
02MS,WATTS FIELD                                       ,ROCHDALE              ,MS,  , ,7/2/02,A, 
02MT,BARRETT FIELD                                     ,CASCADE               ,MT,  , ,7/5/07,I, 
02MU,TIMBER LINE AIRPARK                               ,CASSVILLE             ,MO,  , ,11/13/02,A, 
02NC,RACE CITY                                         ,LANDIS                ,NC,  , ,5/10/07,A, 
02ND,DRESDEN FIELD                                     ,DRESDEN               ,ND,  , ,3/31/03,I, 
02NE,BENES SERVICE                                     ,VALPARAISO            ,NE,  , ,7/5/07,I, 
02NH,IROQUOIS LANDING                                  ,DUMMER                ,NH,  , ,6/26/06,A, 
02NJ,MERCK KENILWORTH CAMPUS                           ,KENILWORTH            ,NJ,  , ,1/11/13,A, 
02NR,MCGEE 02                                          ,GREENVILLE            ,NC,  , ,8/15/11,A, 
02NV,PAIUTE MEADOWS                                    ,WINNEMUCCA            ,NV,  , ,7/9/02,A, 
02NY,HANSEN                                            ,DURHAMVILLE           ,NY,  , ,4/19/90,A, 
02OH,ZIMMERMAN                                         ,FREMONT               ,OH,  , ,1/11/13,I, 
02OI,MURTHA                                            ,CONNEAUT              ,OH,  , ,7/31/13,I, 
02OK,CANON                                             ,OKLAHOMA CITY         ,OK,  , ,11/20/08,I, 
02OR,ROWENA DELL                                       ,THE DALLES            ,OR,  , ,5/26/10,I, 
02P ,STOTTLE MEMORIAL                                  ,HONEY GROVE           ,PA,  , ,12/22/03,A, 
02PA,LAG III                                           ,MONROEVILLE           ,PA,  , ,9/28/06,A, 
02PN,PECO BERWYN                                       ,BERWYN                ,PA,  , ,6/2/89,A, 
02PR,CUYLERS                                           ,VEGA BAJA             ,PR,  , ,10/31/02,A, 
02PS,HUGHES                                            ,TIOGA                 ,PA,  , ,5/26/10,I, 
02Q ,ST ROSE HOSPITAL HELISTOP                         ,HAYWARD               ,CA,  , ,10/2/02,I, 
02SC,HARPERS                                           ,ESTILL                ,SC,  , ,7/17/02,A, 
02T ,WISE RIVER                                        ,WISE RIVER            ,MT,  , ,1/31/90,A, 
02TA,MATAGORDA SHORE FACILITY                          ,MATAGORDA             ,TX,  , ,6/2/89,A, 
02TE,BAYLOR MEDICAL CENTER                             ,WAXAHACHIE            ,TX,  , ,7/17/02,A, 
02TN,ELLIS FIELD                                       ,MURFREESBORO          ,TN,  , ,7/17/02,A, 
02TS,FWOMC                                             ,FORT WORTH            ,TX,  , ,2/14/08,I, 
02TX,THE PALMS AT KITTY HAWK                           ,NEW HOME              ,TX,  , ,11/20/08,A, 
02UT,LUCIN                                             ,LUCIN                 ,UT,  , ,10/31/02,A, 
02V ,PINE VIEW                                         ,ELIZABETH             ,CO,  , ,10/27/05,I, 
02VA,THE GREENHOUSE                                    ,CULPEPER              ,VA,  , ,6/2/89,A, 
02VG,NORTHSTAR AVIATION                                ,BRISTOL               ,VA,  , ,1/15/09,I, 
02W ,DECK AIRPARK                                      ,APEX                  ,NC,  , ,10/2/02,I, 
02WA,CAWLEYS SOUTH PRAIRIE                             ,SOUTH PRAIRIE         ,WA,  , ,6/2/89,A, 
02WI,BEER                                              ,HUDSON                ,WI,  , ,6/2/89,A, 
02WN,FOWLER FLD                                        ,TONASKET              ,WA,  , ,11/27/06,A, 
02X ,BISCAYNE                                          ,MIAMI                 ,FL,  , ,11/24/04,I, 
02XS,SEIDEL RANCH                                      ,ELROY                 ,TX,  , ,6/2/89,A, 
02Y ,GREENBUSH MUNI                                    ,GREENBUSH             ,MN,  ,N,2/16/01,I, 
03A ,SOUTHERN AERO SPORTS                              ,CROSS ANCHOR          ,SC,  , ,11/6/02,I, 
03AK,JOE CLOUDS                                        ,KENAI                 ,AK,  , ,8/3/06,A, 
03AL,JACKSON COUNTY HOSPITAL                           ,SCOTTSBORO            ,AL,  , ,8/6/04,A, 
03AR,HSCMH                                             ,MALVERN               ,AR,  , ,5/29/02,A, 
03AZ,THOMPSON INTL AVIATION                            ,HEREFORD              ,AZ,  , ,5/29/02,A, 
03B ,MANSFIELD MUNI                                    ,MANSFIELD             ,MO,  , ,7/2/02,A, 
03CA,GROSSMONT HOSPITAL                                ,LA MESA               ,CA,  , ,6/2/89,A, 
03CL,MOSKOWITE                                         ,NAPA                  ,CA,  , ,9/3/03,I, 
03CO,KUGEL-STRONG                                      ,PLATTEVILLE           ,CO,  , ,6/4/02,A, 
03D ,MEMPHIS MEMORIAL                                  ,MEMPHIS               ,MO,  , ,7/2/02,A, 
03FA,LAKE PERSIMMON AIRSTRIP                           ,LAKE PLACID           ,FL,  , ,6/4/02,A, 
03FD,THARPE                                            ,BONIFAY               ,FL,  , ,7/9/91,A, 
03FL,RANGER                                            ,WEST PALM BEACH       ,FL,  , ,6/2/89,A, 
03G ,THERMAL-G                                         ,ERIE                  ,PA,  , ,8/22/13,A, 
03GA,YOUNG'S                                           ,SUMNER                ,GA,  , ,11/27/06,I, 
03I ,CLARKS DREAM STRIP                                ,CIRCLEVILLE           ,OH,  , ,6/2/89,A, 
03IA,EAST FIELD                                        ,MONTEZUMA             ,IA,  , ,8/28/09,I, 
03ID,FLYING Y RANCH                                    ,COUNCIL               ,ID,  , ,10/31/02,A, 
03II,DAVIS FIELD                                       ,MOUNT VERNON          ,IN,  , ,6/2/89,A, 
03IL,WIX                                               ,MONEE                 ,IL,  , ,4/19/90,A, 
03IN,HEINZMAN                                          ,ARCADIA               ,IN,  , ,8/28/09,I, 
03IS,ST ANTHONY'S HOSPITAL                             ,ALTON                 ,IL,  , ,6/11/02,A, 
03J ,MILLS RANCH                                       ,CHIEFLAND             ,FL,  , ,10/2/02,I, 
03K ,STATE FAIRGROUNDS                                 ,SPRINGFIELD           ,IL,  , ,10/2/02,I, 
03KS,VALLEY GRAIN                                      ,HIGHLAND              ,KS,  , ,6/2/89,A, 
03KY,FLYING H FARMS                                    ,HENDERSON             ,KY,  , ,6/27/02,A, 
03LA,DAMIEN                                            ,CARVILLE              ,LA,  , ,4/19/90,A, 
03LL,THORNTON                                          ,TOLEDO                ,IL,  , ,10/2/02,I, 
03LS,FMC NR 1                                          ,WINNSBORO             ,LA,  , ,1/23/03,A, 
03M ,LAKESIDE MARINA                                   ,EAST WINTHROP         ,ME,  , ,6/26/06,A, 
03MA,HADLEY                                            ,HADLEY                ,MA,  , ,6/26/06,A, 
03MD,UPPER CHESAPEAKE MEDICAL CENTER                   ,BEL AIR               ,MD,  , ,10/31/02,A, 
03ME,MAPLE RIDGE                                       ,HARRISON              ,ME,  , ,6/26/06,A, 
03MI,HAROLD MILLER                                     ,BAY CITY              ,MI,  , ,6/2/89,A, 
03MN,NAUERTH LAND RANCH                                ,LAKEFIELD             ,MN,  , ,7/2/02,A, 
03MO,CAHOOCHIE                                         ,URBANA                ,MO,  , ,6/2/89,A, 
03MS,VICKSBURG MEDICAL CENTER                          ,VICKSBURG             ,MS,  , ,2/7/14,I, 
03MT,CASCADE                                           ,CASCADE               ,MT,  , ,7/5/07,I, 
03MU,MC DONNELL                                        ,ARCHIE                ,MO,  , ,11/13/02,A, 
03N ,UTIRIK                                            ,UTIRIK ISLAND         ,  ,RM, ,5/26/10,I, 
03NC,PILOTS RIDGE                                      ,CAROLINA BEACH        ,NC,  , ,11/21/92,A, 
03ND,OLAFSON BROTHERS                                  ,EDINBURG              ,ND,  , ,6/2/89,A, 
03NE,HYDE RANCH                                        ,COMSTOCK              ,NE,  , ,5/2/13,I, 
03NH,LORDEN                                            ,MILFORD               ,NH,  , ,6/26/06,A, 
03NJ,ST. JOSEPH'S HOSPITAL                             ,PATERSON              ,NJ,  , ,2/23/12,A, 
03NM,MINER'S COLFAX MEDICAL CENTER                     ,RATON                 ,NM,  , ,5/26/10,A, 
03NV,LLAMA RANCH                                       ,RUBY VALLEY           ,NV,  , ,3/19/03,A, 
03NY,TALMAGE FLD                                       ,RIVERHEAD             ,NY,  , ,6/2/89,A, 
03OH,GIBBS FIELD                                       ,FREMONT               ,OH,  , ,6/2/89,A, 
03OI,MARYMOUNT HOSPITAL                                ,GARFIELD HEIGHTS      ,OH,  , ,6/2/89,A, 
03OK,SAHOMA LAKE                                       ,SAPULPA               ,OK,  , ,7/1/93,A, 
03OR,POWWATKA RIDGE                                    ,TROY                  ,OR,  , ,6/2/89,A, 
03PA,COLLEGEVILLE                                      ,COLLEGEVILLE          ,PA,  , ,4/15/92,A, 
