c5,remark
19730112000529A,"FINAL APCH-ABT 100FT BFR RWY,ADDED PWR,ACFT VEERED L AND L WING HIT GND.LNDD IN CORN FLD."
19730112000669A,REVERSED ENGS. R ENG FLAMED OUT AND L ENG WENT INTO REVERSE. VEERED OFF RWY. UNPLANNED STOP.
19730112000749A,GUSTING TO 45K.
19730112000869A,L FUEL SUMP VALVE NOT OPENED AND SAFETIED.PREVENTED USE OF L TANK FUEL.R GAUGE INOP.DIDNT CK FUEL.
19730112000879A,"TAXIING ONTO RWY FOR NITE TKOF,SAW LDG LIGHT,THOUGHT ACFT ON SHORT FNL.TAXIED OFF RWY,DWN EMBNKMNT"
19730112001549A,HEAD WIND VBL TO 20 DEG L X-WIND GUSTING TO 30K. NOSE WHEEL COCKED DUE PLT X-WIND CORRECTIONS.
19730112002609A,LND ON FREEWAY UNDER CONSTRUCTION. L GR HIT BOULDER IN GRAVEL RIDGE.
19730112002819A,
19730113000129A,
19730113000539A,TURNED OFF RWY ONTO SERV ROAD INSTEAD OF TWY.WING HIT SIGN-SINCE LOWERED.
19730113000679A,THROTTLE ARM CAME OFF THROTTLE SHAFT.
19730113000759A,WIND GUSTING 22K.L LDG GR ENTRD ABT 6IN OF BLOWN SNOW ON RWY.
19730113000769A,"TAXIING THRU SMALL SNOWDRIFT.ACFT BROKE FREE,SLID INTO HANGAR."
19730113000889A,"NO PREV C-150 OR NITE TIME.POLICE,ATTENDING DOCTOR RPRTD PLT & PAX UNDER INFLUENCE OF ALCOHOL."
19730113000891A,OBS ON GRND WAVED HIS ARMS TO WARN PLTS.N9439D PULLED UP INTO N5483Z.ANTI-COLLISION LT NOT ON.
19730113000892A,N9439D ON LONG FINAL.OBS SAW N5483Z TURN TO FINAL ABOVE N4939D.BOTH ACFT CONT APCH.UNCNTRLLED ARPT
19730113001149A,
19730113001159A,HIT CROSS ARM OF PWR LINE TWR 105 FT AGL IN FOG.
19730113002289A,DRG ATMPT TO AVOID TREES ACFT ENTRD HI SINK RATE.
19730113002299A,FLEW INTO WATER DRG LOC ONLY APCH.1ST ACTUAL INST APCH.
19730113002479A,ACFT T/D APRX 240 FT SHORT OF RWY IN SNOW CVRD AREA.
19730114000239A,"DRG LDG APCH TO FROZEN LAKE,ACFT HIT WIRES."
19730114000249A,
19730114000349A,DISORIENTED ENRTE.OVERFLEW DEST ARPT TO REACH OTR ARPT FOR FUELING.
19730114000549A,
19730114000559A,
19730114000629A,"T/D,BALOONED INITIATED GO-AROUND.ACFT DRIFTED,R GR HIT SNOWBANK.WIND GUSTING 20K."
19730114000689A,SIMULATED FORCED LDG.HIT TREES DRG RECOVERY.
19730114000779A,IN FLT FIRE FROM UNDETERMINED SOURCE.
19730114000829A,"MTN TERRAIN.DENS ALT APRX 7000FT-UN TURN AROUND,CRASH LNDD."
19730114000901A,OBS SAW PA-28 ON FINAL AND C-150 ON BASE.SAW C-150 TURN FINAL ON TOP OF PA-28.BOTH ACFT CONT APCH.
19730114000902A,"UNICOM WAS MONITORED,OTHER PLT ON GRND TRSMT WARNING.C-150 HAD NO RADIO.COLLIDED ON LDG FLARE."
19730114001019A,FAILURE OF SPRING PART NR 37430.
19730114001559A,SOLO X-C FLT.ACFT DMG AND INJ INDEX PRESUMED.
19730114002619A,NO TIME IN MAKE AND MODEL LAST 10MOS.WIND GUSTING 28K.ATIS WX BRFG.
19730114002719A,
19730114003909A,IMPROPER FLOAT LEVEL DUE TO INCORRECT FLOAT SEAT SHIM THICKNESS.
19730114004919A,
19730115001029A,INVESTIGATION UNDER THE JURISDICTION OF THE GOVT OF MEXICO.
19730115001169A,APRX 2GALS RMNG R TANK.
19730116000419A,HIT RWY INVERTED.
19730116000569A,FIRST FLIGHT OF HOMEBUILT AIRCRAFT.
19730116001299A,"ACFT T/D ABT 120FT BEYOND THRESHOLD,RWY SLOPES UPWARD."
19730116001659A,"PLT HAD TO REDUCE PWR TO STAB YAW.ACFT AT MAX GWT.SKID BROKE THRU ICE,ROLLED OVER."
19730116003019A,RCVRD 1/17/73.PLT CONDUCTED IMPROPER OR NON-STANDARD IFR APCH PROC.CAUSE UNKN.
19730117000949A,R GR CHAIN DRIVE MASTER LINK FAILED.
19730117001179A,NOSE WHEEL STRUT DEFLATED.
19730117001419A,FROST ON WINGS.
19730117001669A,"CONT FLT INTO AREA OF SEVERE TURB. BOTH OUTBD WG PANELS,AILERONS AND R HORIZ STAB SEP.RCVR 1/18/73"
19730117001979A,"DENS ALT APRX 5500FT.ABT 150LBS OVR GWT,EXCEEDED AFT CG 1.5IN.20DEG FLAP TKOF,CRASHED RET TO FLD."
19730117003119A,LACK OF VISUAL REFERENCE.PLT EXPIRED 8 DAYS AFTR ACDT.
19730118000699A,
19730118000709A,"HIT BELL 47,N8537F,SUBST DMG."
19730118001429A,"DARK NITE,LOST CTL SHORTLY AFTER TKOF. PLT HAD HEART LESION."
19730119000429A,ATTEMPTED TKOF FROM SLOPING TERRAIN WITH DEPRESSED R GR OLEO STRUT IN WINDS GUSTING TO 30K.
19730119000639A,SEL VALVE INDENTION WORN.RAN OFF END OF RWY AND CRASHED.
19730119000789A,
19730119001039A,
19730119002489A,
19730120000649A,AIRBORNE APRX 1HR 15MIN.
19730120000959A,"NITE LDG,UNFAMILIAR ARPT-AVOIDING WIRES NR END OF RWY,STALLED ONTO RWY BENDING GR."
19730120001049A,WIND GUSTING 38K.
19730120001189A,
19730120001309A,DURING LANDING INSTR PLT ALLOWED STUDENT PLT TO LOOSE DIRECTIONAL CONTROL AND HIT DIRT BANK.
19730120001319A,INADQT WX BRFG.NIGHT FLT NOT AUZD.RCVRD 1/21/73.
19730120001439A,RAVEC THRU HEAVY RAINSHOWERS.
19730120001569A,"SLIP TO LDG-T/D SHORT SLID TO AND ON RWY.TIRES BLOWN,FUSELAGE DMGD."
19730120001839A,
19730120002729A,SNOW CVRD PLOWED FLD.PLT THOUGH SNOW DEEPER THAN IT ACTUALLY WAS.
19730120003409A,PLT FLIPPED SWITCH TO TURN ON LDG LGTS-GEAR RETRACTED.LGT SWITCH NEXT TO GR SWITCH.
19730120009249A,ACFT APRX 441LB OVR ALLOWABLE TKOF WEIGHT.
19730121000359A,
19730121000659A,GO-AROUND WITH FLAP FULLY EXTDD.
19730121000799A,THREE JUMPERS EXITED ACFT AFTR PWR LOSS-HIT PWR LINES DRG LDG ON HWY.
19730121001059A,"HIT STINSON N9494K,SUBSTANTIAL DMG."
19730121001069A,
19730121001199A,
19730121001209A,
19730121001219A,UN AVOID TREES.
19730121001329A,
19730121001579A,DIDNT REFUEL AT ENROUTE STOP. HIT ROAD BANK.
19730121001679A,TAXIED INTO SNOW COVERED DITCH.
19730121001959A,ADZD AGAINST ATMTG VFR FLT BY WX BRIEFER.GND VSBY APRX 500FT.R LDG LITE ON.RCVRD 1/28/73.
19730121002059A,LND IN SWAMP.
19730121002309A,GUSTING TO 20K.
19730121002799A,"TAXIING AROUND WATER PUDDLE ON TWY,HIT SNOWPLOW."
19730121002829A,FLT CONT INTO KNOWN ICING.PLT OBS ICE BUILDING UP.NO WING DEICERS.
19730122001339A,ACFT LNDG GEAR STRUCK LARGE ANT HILL ON RNWY.
19730122001689A,REPEATED ATTMPTS BY ATC TO VECT ACFT TO AN ARPT WERE UNSUCCESSFUL.FLT CONT FOR 5HR 45MINS-FUEL EX.
19730122002079A,ATTEMPTED GOAROUND WITH CARB HEAT ON.WIND GUSTING 28K.
19730122002169A,PILOT UNABLE TO UTILIZE 45MIN FUEL RESERVE IN LEFT TANK DUE TO LINE CAVITATION.
19730122003579A,21.8 PER CENT CARBON MONOXIDE IN THE BLOOD.PLT RPTD TO FSS SOMETHING WRONG WITH HIM OR AIRCRAFT.
19730122004059A,"FUEL SEL R TANK,ENG LOST PWR,SWITCHED TO L.UN REGAIN PWR,LNDD ON CORN STUBBLE FLD."
19730122005279A,"SIGHT-SEEING FLIGHT.PLT NOTED ENG ROTOR RPM,TACH DROP.TURNED S REDUCED PITCH.DSCNT CONT,HIT POLE."
19730123000439A,ACFT BURST INTO FLAMES AFTR CONTACT WITH PWR LINES.
19730123000579A,
19730123001589A,NR 1 CYL CRACKED AT BASE. DITCHED IN WATERWAY. OVERFLEW SUITABLE LDG SITES.
19730123001599A,RIGHT MN GR VERY STIFF WITH FROZEN BEARINGS.
19730123002319A,
19730123002839A,PLT PLANNED TO LND WITHIN THE 700FT THRESHOLD EXTENSION.LNDD 4FT SHORT.GR COLLAPSED.
19730124000159A,UNLEVEL LIFT OFF-POSSIBLE ROTOR WASH.INSTRUCTOR PILOT FAILED TO MONITOR STUDENTS LIFT OFF.
19730124000919A,DURING TAXI PIC FAILED TO MAINTAIN DIRECTIONAL CONTROL DUE TO SUDDEN WIND GUST L BRAKE FAILED.
19730124001449A,"B NUT ON L ENG HOSE ATTACH FITTING LOOSE,2 HRS SINCE ENG MAINT.L & NOSE GR DWN,R GR HALFWAY DWN."
19730124001849A,ELEVATOR CONTROL CABLES REVERSED DURING MAINTENANCE.
19730124002179A,
19730124003419A,PLT HAD HI BLOOD PRESSURE COND. FAA ACFT AND CREW.
19730124004929A,ROLLED INTO BRUSHY THICKET OF SAPLING TREES.FUEL SELECTOR PSN BTN L-R ON DETENTS.
19730125000449A,"T FITTING MADE OF ALUMINUM,SHOULD HAVE BEEN STEEL.PLT DID NOT TURN OFF BOOST PUMP OR MASTER SWITCH"
19730125000969A,
19730125000979A,
19730125001459A,
19730125002329A,FUEL IN AUX TANKS NOT USED.
19730126000369A,
19730126001079A,PLT FELT ACFT DID NOT ACCELERATE PROPERLY.TOTAL NITE FLT TIME 9HRS.
19730126001229A,FLEW INTO POOR WEA AT NITE.
19730126001469A,
19730126001699A,
19730126001709A,PLT SELECTED EMPTY FUEL TANK.
19730126001719A,"ACFT STRUCK POLE 1/4 MILE FROM END OF RNWY, LNDGLITES NOT ON."
19730126003229A,DESCENDED BLO MDA ON VOR APCH.
19730127000809A,WIND GUSTING 35K.
19730127000989A,PHOTOGRAPHING ELK. RECOVERED 1/28/73.
19730127001089A,"HIT WIRES,SPRAYING PEACH TREES."
19730127001239A,
19730127001249A,
19730127001609A,"PILOT ATTEMPTED 180 DEGREE TURN BACK TO RNWY.FUEL L TANK APRX 5GAL,R TANK ABT 9.FUEL SEL L TANK."
19730127001729A,
19730127002069A,"LOST CTL IN KNOWN IFR COND FOR UNDET REASON.REPT CLIMBING TO 15500.B-707 IN VICINITY,IFR,13000 FT."
19730127002089A,"LOCALIZER APCH-DSCNT BLO MDA ALT 1260FT,HIT END 800FT MSL 4MI BFR RWY.ALTM FOUND IND 417FT LOW."
19730127002099A,SIMULATED FORCED LDG.
19730127002189A,LNDD IN SOFT MUDDY FLD.
19730127002339A,HIT CEMENT MIXER DRG LDG ON PRIVATE PAVED ROAD.
19730127002849A,"LND ABOUT HALFWAY DOWN RWY,ROLLED INTO DITCH OFF END OF RWY."
19730127004349A,BLIZZARD CONDITIONS.ACFT NOT EQPD FOR INST FLT. HIT MT. RCVRD 2/4/73.
19730127006459A,"ACFT FOUND DEMOLISHED,CIRCUMSTANCES UNK.MOORING BLOCK NOT REMOVED BFR ROTOR ENGAGED.INJ PRESUMED."
19730127008319A,GR NOT DOWN AND LOCKED ON LDG TD.WENT AROUND.LNDD WITH GR IN UNLOCKED PSN.SE APCH TO LDG.
19730128000589A,WATER SEEPED THRU FILLER NECK OF PIPE TO UNDERGROUND TANK.
19730128001099A,
19730128001739A,FUSELAGE AND FIREWALL.DMGD.WIND GUSTING 23K.
19730128001749A,HIT ON NOSE GR
19730128001859A,"WIND VRBL,GUSTING 15K."
19730128002109A,"FULL FLAP PWR OFF LDG,OAT 17 DEG.ENG DID NOT RESPOND,LNDD ON RWY CVRD WITH 12IN OF SNOW."
19730128002349A,GUSTING TO 22K.
19730128003029A,NO NARRATIVE AVAILABLE
19730128003429A,
19730128003589A,"ENCTRD ICE COND,CONT FLT.DUE ACFT ICE LWR ALT RQSDD,UN CK DSCNT,DSCNDD INTO TREES.NOT DEICER EQPD."
19730128003919A,ACFT DMG AND INJ INDEX PRESUMED.
19730128004219A,
19730129001259A,"PILOT THOUGHT ACFT WOULD NOT CLEAR TREES AT END OF RUNWAY,ABORTED TAKE OFF."
19730129001869A,WIND GUSTING 57K.WEA BRIEFED BY HYA TOWER PERSONNEL.
19730129001879A,"DID NOT REMOVE ALL SNOW AND ICE FROM ACFT BFR TKOF.ABT 400FT AGL,L WING DROPPED,ACFT DSCNDD."
19730129001889A,LDG GR HANDLE FOUND IN UP PSN.
19730129005589A,LND ON BEACH. INVEST UNDER JURISDICTION OF GOVT OF JAPAN.
19730130001349A,"DITCHED IN HUDSON RIVER,ACFT SANK,NOT RECOVERED.PLT SWAM ASHORE.ENG WOULD KEEP RUNNING WITH PRIMER"
19730130001759A,
19730130001769A,
19730130002119A,RECOVERY TOO LATE.
19730130002739A,HIT GRND R WG FIRST IN HI SPEED ROLLING TYPE MANEUVER. RECOVERED 1/31/73.
19730130002859A,"PLT DID NOT VISUALLY CHECK FUEL BEFORE TKOF.ABT 11GAL FUEL ONBOARD,EXSTD AFTR 1HR 35MIN OF FLT."
19730130003431A,"IAS LOW ON TKOF.PLT UN DTRM ACTUAL AIRSPEED,LNDD FAST,TOO CLOSE BEHIND N1835J.IAS ERROR CAUSE UNKN"
19730130003432A,
19730131000999A,ICE APRX 3/8IN DIAMETER FOUND IN FUEL LINE.
19730131001479A,"RECOVERY DATE 2/2/73. HAD LND EARLIER DUE POOR ENROUTE WEA. INTENDED TO TERMINATE,THEN CONT FLT."
19730131001619A,"WIND GUSTING TO 28KTS.LANDED RWY 15,RWY 07 AVAIL"
19730131001969A,BLOOD ALCOHOL LEVEL 0.17PC.
19730131003829A,PLT IN ACCDT AREA RPTD POOR VIS IN SNOW. ATTITUDE GYRO INST WAS INOPERATIVE.RECOVERED 2/3/73.
19730131004359A,CRASH LNDD ON MTN SIDE DUE SEVERE DWNDRAFT.
19730201001489A,"ONE HR OUT OF ANNUAL.L BRAKE COMPENSATOR TURNED FULL IN,NEITHER SAFTIED."
19730201002199A,
19730201004069A,LNDD ABT 100 YARDS OFF-SHORE IN LAKE OKEECHOBEE.
19730202000819A,PRACTICE AUTOROTATION. R SKI DUG INTO SOFT GRND.
19730202001359A,FUEL GAGES INDCD 15 AND 17GALS RMNG.UN REACH RWY.
19730202001499A,"BUZZARD JAMMED BETWEEN TRANSMISSION AND SWASH PLATE,CYCLIC CONTROL TUBE BROKEN"
19730202002499A,"NOSE GR MAIN DRIVE TUBE P/N0842120-1 BKN.ACFT CONT GND HANDLED BY PWR EQUIP,CONTRARY TO MFG REC."
19730202002869A,SKID HOOKED REFUELING HOSE. INVEST UNDER JURISDICTION OF GOVT OF LAOS.
19730202003129A,
19730202003449A,TAIL ROTOR HIT BLDG DRG LDG ON TRAILER.
19730202005069A,"FLT INTO FCSTD ICING COND.UN CONT,DECLARED EMGCY DSCNDD THRU CLDS BROKE OUT ABT 700FT AGL HIT TREE"
19730203001109A,FLT PHASE UNK.
19730203001269A,WIND GUSTING 33K.BOTH WINGS DMGD.
19730203001279A,MECHANIC DID NOT PROPERLY SECURE OIL DRAIN PLUG.
19730203001369A,HIT WIRES
19730203001509A,T/D ABT MIDWAY ON SOD STRIP.
19730203001891A,"N1268Q DEVIATED FROM STANDARD PATTERN,WASNT MONITORING UNICOM. COLLIDED DURING LDG FLARE."
19730203001892A,"N18741 MONITORED UNICOM,FLEW STANDARD PATTERN. UNICOM WARNING JUST BFOR COLLISION."
19730203001989A,BRAKE DISC CAME OUT OF WHEEL COCKED SIDEWAYS JAMMED BTN HOUSING AND BRAKE DISC KEY.WIND GUSTY.
19730203002509A,IFR TAKEOFF.WENT ON AND OFF INSTMNTS.DISORIENTED.LOST ALTITUDE.FLEW INTO HAYSTACK.
19730203002749A,"PLT THOUGHT ACFT SLOW TO LIFT OFF,CONT FLT,STARTED TO STALL,ABORTED.HIT SNOW RIDGE AT END OF RWY."
19730203002879A,
19730203003599A,OPERATING FROM PART LAND PART FROZEN SNOW COVERED LAKE.DEBRIS SCATTERED IN SNOW.R SKI HIT OIL DRUM
19730203005919A,"FUEL NOT CKD BFR DEP.INFLT PLT NOTED LOW FUEL,OVRFLEW ARPTS,CONT TO DEST.FUEL EX 3HR 50MIN OF FLT."
19730203009529A,SPUN INTO EVERGLADES. ACFT NEAR MAX GROSS WT AND AFT CG LIMITS. SWING OVER CTL WHEEL POS TO L SEAT
19730204001519A,"RUNWAY,ICE PATCHES WATER CVRD.PLT UNAW OF FLD COND.AFTER T/D ACFT VEERED,PLT COR,SKIDDED OTR DIR."
19730204001529A,INCORRECT ENTRY BY MECH IN ACFT LOG BOOK RESULTED IN PILOT CONFUSION AND FUEL MISMANAGEMENT.
19730204001629A,LDG AFTER SPOTTING COYOTES.
19730204001779A,PILOT ATTEMPTED FALLING LEAF MANEUVER ACFT ENTRD SPIN.HIT TREES DRG RECOVERY.
19730204001789A,
19730204001909A,LNDG GR HAD AN APRXLY 30 DEG BEND 18 IN FM ATTACH END.UN DTRMN RIGGING OF LNDG GR DUE COND OF ROD.
19730204001999A,INEXPERIENCED PLT VEERED OFF RNWY.ACFT WING COLLIDED WITH SMALL TREE & SWUNG ACFT INTO BRUSH
19730204002009A,HIT ROADWAY REFLECTORS.NOSE GR COLLAPSED.
19730204002019A,EXCEEDED XWIND COMPONENT OF ACFT.WIND GUSTY TO 30 KTS.LANDED RWY 20. PLT HAD CAST ON LEFT LEG
19730204002049A,PLT ATTN DIVERTED TO HANGAR ON LEFT.R WING HIT PARKED FUEL TRUCK.
19730204002209A,CRANKSHAFT DOWEL PIN SHEARED-OILPUMP SEIZED.
19730204002359A,ENG MIXT CTL FOUND IN IDLE CUT OFF PSN.T/D SHORT OF RWY IN AREA BEING CLRD FOR APCH TO RWY 33.
19730204003239A,PLT BUZZED HIS HOUSE THEN PULLED UP STEEPLY. CRASHED INTO UNOCCUPIED CAR.
19730204004819A,"DRG TKOF,L ENG QUIT ABT 60MPH,PLT UN MAINTAIN RWY HEADING,L WING HIT FENCE.FUEL SUMP FULL OF WATER"
19730204005459A,
19730204005591A,RESTRICTED VISIBILITY DUE TO BRIGHT SUN.
19730204005592A,RESTRICTED VISIBILITY DUE TO BRIGHT SUN.
19730205002219A,"PIC IN RT SEAT,BRAKES AVAIL LEFT SEAT ONLY."
19730205002369A,R TANK CAPACITY REDUCED DUE POOR INSTALLATION.PLT DIDNT SWITCH TANKS.
19730205002379A,HIT UNLIGHTED 25FT HIGH TELFON POLE APRX 3500FT FRM RWY.
19730205002889A,RWY LITES UPON REQUEST.DAMAGE TO AIRFRAME AND NOSE GEAR.LANDED DOWNWIND
19730205003699A,STALLED IN STEEP TURN AT LOW ALTITUDE.
19730206001639A,
19730206002229A,
19730206002239A,PLT DID NOT REDUCE PWR AFTER LANDING.
19730206004449A,HIT TREES.
19730206005289A,"UN LND ON 2 APCHS DUE PATCHY FOG.TRIED ANOTHER APCH,LND LONG.SAW GAS TANK AT RWY END,PULLED UP."
19730207001799A,"1ST TKOF ABORTED,INOP ATT GYRO.15 YR-OLD VACUUM HOSE HAD CUTS,BREAKS."
19730207002029A,LDG LTS GLARED ON SNOW.L WG TIP HIT GRND.
19730207002249A,LEFT GEAR SHOCK STRUT FAILED
19730207002519A,DESCENDED BLO MDA IN HEAVY RAIN.
19730207002759A,"ACFT FUEL SYS,5GAL UNUSABLE.4GAL DRAINED FROM SYS AFTER ACDT."
19730207005789A,THE HERBICIDE LOADER FORGOT TO DISCONNECT THE HERBICIDE HOSE.
19730207008599A,"RECOVERED 4/3/73.AIRFRAME ICING,HYPOXIA OR SPATIAL DISORIENTATION POSSIBLE."
19730207009539A,"LDG GR MOTOR NOT OPERABLE,OVERHEATED.ACFT DMG INCLUDED GR DOORS,BELL CRANK AND PUSH RODS."
